product_id,product_name,supplier_name,rank,sept_avg_daily_sales,sept_stock,oct_avg_daily_sales,oct_actual_sales,current_order_per_cycle,current_total_order,current_oct_end_stock,current_stockout,moderate_order_per_cycle,moderate_total_order,moderate_oct_end_stock,moderate_stockout,cost,current_stock_value,moderate_stock_value
9352218005150,ザクっとにんじん 10本,A.ゆうき八百屋,C,0.29,5,0.13,4.0,0.0,0.0,1.0,False,0.0,0.0,1.0,False,259,251.0,251.0
9352218005148,ザクっとさつまいも 10本,A.ゆうき八百屋,C,0.36,4,0.23,7.1,0.0,0.0,-3.1,True,0.0,0.0,-3.1,True,259,0.0,0.0
9352218005149,ザクっとかぼちゃ 10本,A.ゆうき八百屋,E,0.07,3,0.17,5.3,0.0,0.0,-2.3,True,0.0,0.0,-2.3,True,259,0.0,0.0
9352218005145,まいにちおやつ にんじん味 30g,A.ゆうき八百屋,C,0.29,4,0.2,6.2,0.0,0.0,-2.2,True,0.0,0.0,-2.2,True,189,0.0,0.0
9352218005054,まいにちおやつ かぼちゃ味 30g,A.ゆうき八百屋,C,0.36,5,0.3,9.3,0.0,0.0,-4.3,True,0.0,0.0,-4.3,True,189,0.0,0.0
9352218005147,まいにちおやつ キャロブ味 30g,A.ゆうき八百屋,C,0.43,5,0.33,10.2,0.0,0.0,-5.2,True,0.0,0.0,-5.2,True,189,0.0,0.0
11236,ベビー用5ヶ月 有機野菜とろとろ野菜おじや 100g,A.ゆうき八百屋,D,0.14,6,0.1,3.1,0.0,0.0,2.9,False,0.0,0.0,2.9,False,301,873.0,873.0
10762,ベビー用7ヶ月 小松菜と人参のお粥 (有機) 100g,A.ゆうき八百屋,C,0.29,5,0.07,2.2,0.0,0.0,2.8,False,0.0,0.0,2.8,False,301,852.0,852.0
13197,ベビー用10ヶ月 鯛がゆ 100g,A.ゆうき八百屋,B,0.36,5,0.0,0.0,0.0,0.0,5.0,False,0.0,0.0,5.0,False,308,1540.0,1540.0
16121,有機麻の実ナッツ 160g,A.ゆうき八百屋,C,0.07,4,0.13,4.0,0.0,0.0,-0.0,True,0.0,0.0,-0.0,True,1155,0.0,0.0
8894,ゆうき市場の洗双糖 500g,A.ゆうき八百屋,C,0.36,6,0.37,11.5,0.0,0.0,-5.5,True,0.0,0.0,-5.5,True,259,0.0,0.0
13248,オーガニックハーブウォーター ミント 500ml,A.ゆうき八百屋,A,2.07,21,1.6,49.6,0.0,0.0,-28.6,True,5.9,23.6,-5.0,True,140,0.0,0.0
15939,向島園 有機熟成三年番茶 200g,A.ゆうき八百屋,A,0.43,7,0.3,9.3,0.0,0.0,-2.3,True,0.0,0.0,-2.3,True,805,0.0,0.0
7237,有機麦みそ 600g,A.ゆうき八百屋,A,0.14,2,0.03,0.9,0.0,0.0,1.1,False,0.0,0.0,1.1,False,1260,1348.0,1348.0
6226,竹輪麩(小) 30g,A.ゆうき八百屋,D,0.14,3,0.07,2.2,0.0,0.0,0.8,False,0.0,0.0,0.8,False,315,261.0,261.0
1584,北海道産有機小豆使用つぶあん 200g,A.ゆうき八百屋,B,0.36,5,0.07,2.2,0.0,0.0,2.8,False,0.0,0.0,2.8,False,336,951.0,951.0
2155,国産有機白玉だんご粉 150g,A.ゆうき八百屋,D,0.14,4,0.13,4.0,0.0,0.0,-0.0,True,0.0,0.0,-0.0,True,400,0.0,0.0
10903,特別栽培小豆 つぶあん(缶) 245g,A.ゆうき八百屋,C,0.21,8,0.1,3.1,0.0,0.0,4.9,False,0.0,0.0,4.9,False,417,2043.0,2043.0
7341,国産原料100% 氷砂糖(ロック) 1kg,A.ゆうき八百屋,C,0.14,19,0.0,0.0,0.0,0.0,19.0,False,0.0,0.0,19.0,False,511,9709.0,9709.0
13370,パックスナチュロン 石けんはみがき 120g,A.ゆうき八百屋,C,0.21,8,0.33,10.2,0.0,0.0,-2.2,True,0.0,0.0,-2.2,True,294,0.0,0.0
10882,シママース500g,A.ゆうき八百屋,E,0.14,4,0.13,4.0,0.0,0.0,-0.0,True,0.0,0.0,-0.0,True,175,0.0,0.0
1895,シママース 1kg,A.ゆうき八百屋,C,0.21,5,0.23,7.1,0.0,0.0,-2.1,True,0.0,0.0,-2.1,True,329,0.0,0.0
11907,梅醤入り玄米番茶がゆ 200g,A.ゆうき八百屋,E,0.14,6,0.0,0.0,0.0,0.0,6.0,False,0.0,0.0,6.0,False,175,1050.0,1050.0
