period,prediction_date,product_id,product_name,predicted,actual,avg_daily_sales,rank,lookback_days,forecast_days
1,2026-01-22,9352218006697,かぶら寿司 1枚入,0.0,0,0.0,E,14,7
1,2026-01-22,12033,六条大麦茶 500g,0.0,0,0.0,E,14,7
1,2026-01-22,1894,奥能登海水塩  200g,0.0,0,0.0,E,14,7
1,2026-01-22,14146,ピュアシメトリー 40g,0.0,0,0.0,E,14,7
1,2026-01-22,14145,ピュアハピネス 20g,0.0,0,0.0,E,14,7
1,2026-01-22,14147,ピュアピース 30g,0.0,0,0.0,E,14,7
1,2026-01-22,14149,ピュアディフェンス  30g,0.0,0,0.0,E,14,7
1,2026-01-22,14155,ピュアハピネス 10袋,0.0,0,0.0,E,14,7
1,2026-01-22,14157,ピュアピース 10袋,0.0,0,0.0,E,14,7
1,2026-01-22,14156,ピュアシメトリー 10袋,0.0,0,0.0,E,14,7
1,2026-01-22,14159,ピュアプロテクション  10袋,0.0,0,0.0,E,14,7
1,2026-01-22,9352218001922,マウンテンティー 10袋,0.0,0,0.0,E,14,7
1,2026-01-22,14163,カモミール 10袋,0.0,0,0.0,E,14,7
1,2026-01-22,14161,ミント 10袋,0.0,0,0.0,E,14,7
1,2026-01-22,13587,出来立てモッツァレラ 100g,0.0,0,0.0,E,14,7
1,2026-01-22,13588,出来立てリコッタ 100g,0.0,2,0.0,E,14,7
1,2026-01-22,13590,CS カチョカヴァッロ,0.0,0,0.0,E,14,7
1,2026-01-22,13589,東京ブッラータ 150g,0.0,2,0.0,E,14,7
1,2026-01-22,13635,さけるモッツァレラ(クラタペッパー) 100g,3.5,2,0.5,B,14,7
1,2026-01-22,15761,さけるモッツァレラ(山椒) 100g,0.0,0,0.0,E,14,7
1,2026-01-22,9352218002813,CRACKERS チーズのOTOMO 20枚,0.0,0,0.0,E,14,7
1,2026-01-22,15665,東京白カビチーズ 90g,0.0,0,0.0,E,14,7
1,2026-01-22,15666,東京白やなぎ 90g,0.0,0,0.0,E,14,7
1,2026-01-22,9339709006934,東京セミハードチーズ 100g,0.0,0,0.0,E,14,7
1,2026-01-22,15667,東京ブラウンチーズ 110g,0.0,0,0.0,E,14,7
1,2026-01-22,9339709006810,ホエイジャム 200g,0.0,0,0.0,E,14,7
1,2026-01-22,9339709006935,セミハードチーズのオイル漬け 100g,0.0,0,0.0,E,14,7
1,2026-01-22,16097,レモングラスブッラータ 150g,0.0,0,0.0,E,14,7
1,2026-01-22,9352218004714,さけるモッツァレラ(プレーン) 100g,2.5,3,0.36,C,14,7
2,2026-01-15,14716,オーガニック玄米もち プレーン 300g,4.5,0,0.64,A,14,7
2,2026-01-15,2105,オーガニック能登そば 100gx2,4.5,0,0.64,A,14,7
2,2026-01-15,1238,オーガニック玄米もち 黒豆 300g,2.0,0,0.29,C,14,7
2,2026-01-15,9352218001722,福まめ 85g,6.0,8,0.86,B,14,7
2,2026-01-15,2115,有機きな粉 80g,1.0,0,0.14,E,14,7
2,2026-01-15,1237,オーガニック玄米もち よもぎ 300g,0.0,0,0.0,E,14,7
2,2026-01-15,1320,オーガニック米あめ 200g,0.0,0,0.0,E,14,7
2,2026-01-15,14761,アナッサギフトボックス,0.0,0,0.0,E,14,7
