productId,productName,supplierName,rank,unitPrice,sepEndStock,avgDailySales,currentOrder,rankOrder,coefficient,octSales,currentOctEnd,rankOctEnd,currentStockout,rankStockout
13371,パックスナチュロンソルティー 石けんはみがき 120g,A.ゆうき八百屋,B,480,3,0.5,2,2,1.15,13,0,0,True,True
10765,ベビー用12ヶ月 小松菜たっぷり炊き込みごはん(有機) 100g,A.ゆうき八百屋,B,460,6,0.73,2,1,1.15,10,0,0,True,True
8232,南仏アジャンのオーガニックプルーン 200g,A.ゆうき八百屋,A,890,6,0.7,1,1,1.3,7,0,0,False,False
1886,粟國の塩(釜炊) 250g,A.ゆうき八百屋,B,860,4,0.47,1,1,1.15,8,0,0,True,True
10673,富士すのもの酢 360ml,A.ゆうき八百屋,D,850,0,0.1,1,1,0.8,1,0,0,False,False
9352218002924,つや姫 一膳パック(特別栽培米) 150g,A.ゆうき八百屋,D,270,0,0.23,3,1,0.8,0,3,1,False,False
11596,有機発芽玄米もち 300g,A.ゆうき八百屋,D,690,0,0.07,1,1,0.8,8,0,0,True,True
10498,乾燥あおさのり25g,A.ゆうき八百屋,E,680,0,0.07,1,1,0.6,0,1,1,False,False
3689,にんじんミックスジュース 200ml,A.ゆうき八百屋,E,330,0,0.13,2,1,0.6,9,0,0,True,True
16070,有機ココナッツファイン 120g,A.ゆうき八百屋,E,660,0,0.07,1,1,0.6,0,1,1,False,False
13248,オーガニックハーブウォーター ミント 500ml,A.ゆうき八百屋,A,230,21,2.4,3,3,1.3,48,0,0,True,True
20240723363,菊地黒糖 粉末 150g,A.ゆうき八百屋,C,630,1,0.17,1,1,1.0,4,0,0,True,True
13121,平譯さんの畑から うずら豆 300g,A.ゆうき八百屋,E,590,0,0.07,1,1,0.6,4,0,0,True,True
14235,無茶々園のひじき 30g,A.ゆうき八百屋,C,550,2,0.27,1,1,1.0,9,0,0,True,True
14720,有機ヴィーガン塩ラーメン(カップ) 61g,A.ゆうき八百屋,C,540,2,0.23,1,1,1.0,0,3,3,False,False
8932,青大豆きな粉 100g,A.ゆうき八百屋,E,480,0,0.03,1,1,0.6,0,1,1,False,False
1478,屋久島縄文水 1500ml,A.ゆうき八百屋,B,290,11,1.2,1,1,1.15,21,0,0,True,True
7222,無茶々園の寒天ゼリー(みかん) 95g,A.ゆうき八百屋,E,280,0,0.07,1,1,0.6,0,1,1,False,False
7221,無茶々園の寒天ゼリー(甘夏) 95g,A.ゆうき八百屋,E,280,0,0.03,1,1,0.6,0,1,1,False,False
8682,無茶々園の寒天ゼリー(伊予柑) 95g,A.ゆうき八百屋,E,280,0,0.03,1,1,0.6,0,1,1,False,False
7064,龍馬1865(ノンアルコールビール) 350ml,A.ゆうき八百屋,C,170,7,0.77,1,1,1.0,17,0,0,True,True
9352218004604,麦こうじ 1kg,A.ゆうき八百屋,E,2030,0,0.0,0,0,0.6,0,0,0,False,False
9352218002130,玄米もちっこ 70g,A.ゆうき八百屋,E,390,0,0.0,0,0,0.6,0,0,0,False,False
9339709006921,やさしい豆乳クッキー レモン 7枚,A.ゆうき八百屋,E,400,0,0.0,0,0,0.6,0,0,0,False,False
1949,阿波和三盆糖 100g,A.ゆうき八百屋,E,550,0,0.0,0,0,0.6,0,0,0,False,False
1245,青大豆(秘伝) 300g,A.ゆうき八百屋,E,540,0,0.0,0,0,0.6,0,0,0,False,False
9352218001537,もちごめ(でわのもち) 玄米 2kg,A.ゆうき八百屋,E,1480,0,0.0,0,0,0.6,0,0,0,False,False
